Time,CPU,Memory,Temperature,Power
637,219.10%,2560,51.6,  3.44 W   
638,247.40%,2853,51.1,  3.92 W   
639,310.10%,2890,51.1,  4.90 W   
640,248.70%,3185,50.1,  3.95 W   
641,265.30%,3247,51.6,  4.14 W   
642,346.90%,3529,51.1,  5.47 W   
643,265.40%,3577,50.6,  4.15 W   
644,223.20%,3875,50.6,  3.51 W   
645,252.70%,3918,51.1,  3.95 W   
646,253.90%,4219,50.6,  3.97 W   
647,315.80%,4280,52.5,  5.05 W   
648,241.10%,4610,51.1,  3.81 W   
649,281.90%,4658,51.1,  4.42 W   
650,309.90%,4927,51.1,  4.89 W   
651,326.50%,4973,51.1,  5.21 W   
652,224.00%,5237,50.1,  3.51 W   
653,275.90%,5284,51.1,  4.34 W   
654,391.40%,1766,50.6,  6.11 W   
655,390.00%,1766,49.1,  6.09 W   
656,187.60%,1768,50.6,  3.01 W   
657,181.00%,1767,50.6,  2.90 W   
658,262.30%,1769,51.6,  4.12 W   
659,229.60%,1769,49.6,  3.60 W   
660,318.70%,1770,50.1,  5.06 W   
661,318.00%,1768,51.6,  5.03 W   
662,266.10%,1767,50.6,  4.19 W   
663,218.80%,1768,51.6,  3.43 W   
664,258.00%,1836,51.1,  4.03 W   
665,268.90%,1887,50.6,  4.26 W   
666,327.80%,2143,50.6,  5.20 W   
667,292.80%,2199,51.1,  4.66 W   
668,181.00%,2485,51.1,  2.84 W   
669,266.30%,2530,51.1,  4.19 W   
670,206.70%,2853,51.1,  3.37 W   
671,185.40%,2908,50.6,  2.89 W   
672,279.50%,3227,51.1,  4.37 W   
673,268.90%,3268,51.6,  4.25 W   
674,304.20%,3542,51.1,  4.80 W   
675,204.90%,3586,51.6,  3.23 W   
676,314.60%,3853,50.1,  5.03 W   
677,209.80%,3896,51.6,  3.32 W   
678,153.50%,4210,50.6,  2.43 W   
679,360.70%,4258,50.1,  5.69 W   
680,260.70%,4532,50.6,  4.19 W   
681,275.30%,4586,52.1,  4.30 W   
682,201.20%,4883,51.1,  3.15 W   
683,256.20%,4931,50.6,  4.00 W   
684,192.60%,5208,50.6,  3.08 W   
685,322.30%,5256,51.1,  5.05 W   
686,209.10%,5558,51.6,  3.30 W   
687,298.10%,5599,51.1,  4.70 W   
688,383.10%,1848,49.6,  6.03 W   
689,373.60%,1851,50.1,  5.91 W   
690,253.60%,1852,52.1,  3.96 W   
691,271.80%,1850,50.1,  4.24 W   
692,310.90%,1853,50.1,  4.95 W   
693,183.80%,1851,51.1,  2.87 W   
694,225.40%,1853,50.6,  3.60 W   
695,300.40%,1852,51.1,  4.71 W   
696,306.00%,1852,50.1,  4.84 W   
697,284.90%,1853,51.6,  4.46 W   
698,278.00%,1852,52.1,  4.44 W   
699,279.80%,1853,50.6,  4.39 W   
700,252.40%,1853,50.6,  4.00 W   
701,260.80%,1854,51.6,  4.12 W   
702,312.30%,2126,52.1,  4.87 W   
703,339.50%,2161,51.1,  5.37 W   
704,245.90%,2457,51.6,  3.88 W   
705,311.40%,2490,51.1,  4.93 W   
706,180.10%,2806,51.6,  2.82 W   
707,324.90%,2844,51.6,  5.13 W   
708,250.60%,3145,52.1,  3.98 W   
709,265.70%,3182,51.1,  4.28 W   
710,267.00%,3460,51.6,  4.21 W   
711,330.10%,3485,51.6,  5.26 W   
712,334.90%,3800,50.6,  5.26 W   
713,356.80%,3829,52.1,  5.62 W   
714,308.80%,4109,50.1,  4.86 W   
715,303.10%,4146,50.6,  4.75 W   
716,182.30%,4462,50.6,  2.86 W   
717,271.90%,4493,50.1,  4.27 W   
718,269.80%,4786,51.6,  4.25 W   
719,279.60%,4830,50.6,  4.40 W   
720,264.80%,5126,50.6,  4.17 W   
721,306.00%,5155,50.6,  4.82 W   
722,266.60%,1853,51.1,  4.21 W   
723,379.40%,1854,50.6,  5.95 W   
724,6.20%,212,47.7,  337 mW   
725,5.10%,210,44.3,  360 mW   
726,5.20%,210,44.3,  253 mW   
727,4.60%,211,43.8,  253 mW   
728,4.90%,209,43.8,  260 mW   
729,6.80%,209,43.8,  431 mW   
730,6.30%,208,42.8,  275 mW   
731,6.60%,210,43.3,  529 mW   
732,5.20%,210,43.3,  293 mW   
733,5.00%,208,44.3,  360 mW   
734,3.90%,210,43.3,  842 mW   
